연도,가입자,수급자
1988,531,0
1989,542,0
1990,558,0
1991,571,0
1992,602,0
1993,618,1
1994,652,3
1995,870,5
1996,890,7
1997,882,9
1998,789,11
1999,1288,28
2000,1411,46
2001,1416,63
2002,1468,95
2003,1513,105
2004,1485,142
2005,1497,165
2006,1536,185
2007,1578,211
2008,1596,236
2009,1628,260
2010,1694,282
2011,1797,301
2012,1879,331
2013,1939,344
2014,1986,358
2015,2046,383
2016,2118,413
2017,2158,447
2018,2233,459
2019,2216,496
2020,2204,522
2021,2185,557
2022,2167,592
2023,2149,627
2024,2131,662
2025,2113,698
2026,2095,733
2027,2077,768
2028,2059,803
2029,2041,838
2030,2023,874
2031,1998,916
2032,1974,957
2033,1950,999
2034,1926,1040
2035,1903,1082
2036,1879,1124
2037,1855,1165
2038,1831,1207
2039,1808,1249
2040,1776,1290
2041,1747,1321
2042,1719,1352
2043,1691,1383
2044,1663,1414
2045,1635,1445
2046,1607,1476
2047,1579,1507
2048,1551,1538
2049,1523,1569
2050,1495,1601
2051,1466,1612
2052,1437,1623
2053,1408,1634
2054,1380,1645
2055,1353,1652
2056,1326,1659
2057,1300,1667
2058,1273,1674
2059,1246,1681
2060,1220,1689
