year,value
2019,25500.0
2020,30000.0
2021,34410.0
2022,38820.0
2023,43230.0
2024,47640.0
2025,52050.0
2026,56460.0
2027,60870.0
2028,65280.0
2029,69690.0
2030,74100.0
2031,80900.0
2032,89100.0
2033,97300.0
2034,105500.0
2035,113700.0
2036,121900.0
2037,130100.0
2038,138300.0
2039,146500.0
2040,156600.0
2041,168710.0
2042,180820.0
2043,192930.0
2044,205040.0
2045,217150.0
2046,229260.0
2047,241370.0
2048,253480.0
2049,265590.0
2050,277700.0
2051,290400.0
2052,303100.0
2053,315800.0
2054,328500.0
2055,344700.0
2056,360900.0
2057,377100.0
2058,393300.0
2059,409500.0
2060,425700.0
