year,value
2019,46700.0
2020,48500.0
2021,50630.0
2022,52760.0
2023,54890.0
2024,57020.0
2025,59150.0
2026,61280.0
2027,63410.0
2028,65540.0
2029,67670.0
2030,69800.0
2031,71930.0
2032,74060.0
2033,76190.0
2034,78320.0
2035,80450.0
2036,82580.0
2037,84710.0
2038,86840.0
2039,88970.0
2040,91100.0
2041,92690.0
2042,94280.0
2043,95870.0
2044,97460.0
2045,99050.0
2046,100640.0
2047,102230.0
2048,103820.0
2049,105410.0
2050,107000.0
2051,108270.0
2052,109540.0
2053,110810.0
2054,112080.0
2055,113350.0
2056,114620.0
2057,115890.0
2058,117160.0
2059,118430.0
2060,119700.0
